FOLIO,SEXO_ENCUESTADO,EDAD_ENCUESTADO,P1_5,P2_4,P2_5,P2_6_SUMA_SEMANALES_EST,P2_8,P2_10_F,P2_10_G,P2_13,P3_16,P3_17,P5_2_A_1,P5_2_B_1,P5_2_C_1,P5_2_D_1,P5_2_E_1,P5_3_A,P5_3_B,P5_3_C,P5_3_D,P5_3_E,P6_1_A,P6_1_B,P6_1_C,P6_1_D,P6_2,P6_3_HORAS,P6_3_MIN,P6_4,P6_5_HORAS,P6_5_MIN,P6_6,P6_7_HORAS,P6_7_MIN,P6_8_HORAS,P6_8_MIN,P6_12,P6_13,P6_14,P6_16,P6_18,P6_30_A_1,P6_30_A_2,P6_30_B_1,P6_30_B_2,P6_30_C_1,P6_30_C_2,P6_30_D_1,P6_30_D_2,P6_30_E_1,P6_30_E_2,P6_30_F_1,P6_30_F_2,P6_30_G_1,P6_30_G_2,P6_30_H_1,P6_30_H_2,O6_3,O6_5,O6_7,O6_8
4125.0,H,48,10,1,1,40,1,4,3,3,2,7,1,0,0,0,0,1,1,0,0,0,4,4,4,4,1.0,1,0,1,1,0,7,1.0,0.0,4.0,0.0,0,0,4,1,0,7,3,2,2,4,2,2,2,3,1,2,1,7,2,5,2,1.0,1.0,7.0,28.0
4126.0,M,69,10,9,9,0,0,9,9,9,2,6,1,1,1,0,1,0,0,0,0,0,4,4,4,4,1.0,1,0,1,1,0,5,0.0,30.0,5.0,0.0,0,0,4,1,0,6,1,2,2,3,1,2,2,3,2,1,1,7,1,5,2,1.0,1.0,2.5,35.0
4127.0,H,61,10,1,1,70,1,5,5,3,2,8,0,0,0,0,1,1,0,0,0,0,4,4,2,4,0.0,0,0,0,0,0,0,0.0,0.0,12.0,0.0,0,0,1,1,0,6,1,1,1,4,1,0,0,3,1,7,3,7,3,7,2,0.0,0.0,0.0,84.0
4128.0,M,30,10,9,9,0,0,9,9,9,1,8,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0.0,0,0,0,0,0,7,0.0,30.0,6.0,0.0,0,0,4,1,0,7,2,1,1,7,2,1,1,7,3,7,4,7,2,7,4,0.0,0.0,3.5,42.0
4129.0,M,70,10,9,9,0,0,9,9,9,2,6,1,0,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,6,,,4.0,0.0,0,0,4,2,2,5,2,1,1,3,3,1,2,5,2,2,2,7,2,5,3,0.0,0.0,3.99,28.0
4130.0,M,49,10,9,9,0,0,9,9,9,4,6,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0.0,0,0,0,0,0,0,0.0,0.0,6.0,0.0,1,0,1,1,0,3,1,1,1,1,1,1,1,2,1,7,2,7,1,7,4,0.0,0.0,0.0,42.0
4131.0,H,69,10,9,9,0,0,9,9,9,2,8,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0.0,0,0,0,0,0,0,0.0,0.0,6.0,0.0,0,0,2,2,2,4,2,1,1,1,1,1,1,3,1,4,2,7,2,7,4,0.0,0.0,0.0,42.0
4132.0,M,63,10,9,9,0,0,9,9,9,1,7,0,1,0,0,0,1,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,6,0.0,30.0,3.0,0.0,0,0,2,1,0,4,1,2,1,7,1,1,1,7,1,3,1,7,2,7,2,0.0,0.0,3.0,21.0
4133.0,M,25,10,1,1,70,4,5,5,3,2,6,0,0,0,0,0,1,0,0,0,0,4,4,1,4,0.0,0,0,7,1,0,7,2.0,0.0,2.0,0.0,0,0,4,1,0,4,1,1,1,7,1,1,1,7,1,4,1,7,2,7,6,0.0,7.0,14.0,14.0
4134.0,M,16,10,9,9,0,0,9,9,9,1,8,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,3,1,0,7,1.0,0.0,4.0,0.0,0,0,4,1,0,4,1,1,1,7,1,1,1,7,1,4,1,7,2,7,2,0.0,3.0,7.0,28.0
4135.0,M,38,10,1,1,30,0,5,5,1,1,7,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,7,1.0,0.0,4.0,0.0,0,0,4,1,0,5,1,1,1,7,1,1,1,7,1,5,1,7,2,7,2,0.0,0.0,7.0,28.0
4136.0,M,54,10,9,9,0,0,9,9,9,1,7,0,1,0,0,0,1,0,0,0,0,4,4,4,4,2.0,1,0,0,0,0,7,1.0,0.0,4.0,0.0,0,0,1,2,2,5,1,1,1,7,1,1,1,7,1,7,1,7,4,7,2,2.0,0.0,7.0,28.0
4137.0,H,59,10,1,4,48,2,4,4,3,2,7,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,2,0.0,30.0,4.0,0.0,0,1,1,3,4,7,1,1,1,7,1,1,1,7,2,7,3,7,4,7,2,0.0,0.0,1.0,28.0
